exclusion_index,exclusion_code_decimal,exclusion_code
15,F77,F77
15,F78,F78
15,F79,F79
15,G00,G00
15,G01,G01
15,G02,G02
15,G03,G03
15,G04,G04
15,G05,G05
15,G06,G06
15,G07,G07
15,G08,G08
15,G09,G09
15,G10,G10
15,G11,G11
15,G12,G12
15,G13,G13
15,G14,G14
15,G15,G15
15,G16,G16
15,G17,G17
15,G18,G18
15,G19,G19
15,G20,G20
15,G21,G21
15,G22,G22
15,G23,G23
15,G24,G24
15,G25,G25
15,G26,G26
15,G27,G27
15,G28,G28
15,G29,G29
15,G30,G30
15,G31,G31
15,G32,G32
15,G33,G33
15,G34,G34
15,G35,G35
15,G36,G36
15,G37,G37
15,G38,G38
15,G39,G39
15,G40,G40
15,G41,G41
15,G42,G42
15,G43,G43
15,G44,G44
15,G45,G45
15,G46,G46
15,G47,G47
15,G48,G48
15,G49,G49
15,G50,G50
15,G51,G51
15,G52,G52
15,G53,G53
15,G54,G54
15,G55,G55
15,G56,G56
15,G57,G57
15,G58,G58
15,G59,G59
15,G60,G60
15,G61,G61
15,G62,G62
15,G63,G63
15,G64,G64
15,G65,G65
15,G66,G66
15,G67,G67
15,G68,G68
15,G69,G69
15,G70,G70
15,G71,G71
15,G72,G72
15,G73,G73
15,G74,G74
15,G75,G75
15,G76,G76
15,G77,G77
15,G78,G78
15,G79,G79
15,G80,G80
15,G81,G81
15,G82,G82
15,G83,G83
15,G84,G84
15,G85,G85
15,G86,G86
15,G87,G87
15,G88,G88
15,G89,G89
15,G90,G90
15,G91,G91
15,G92,G92
15,G93,G93
15,G94,G94
15,G95,G95
15,G96,G96
15,G97,G97
15,G98,G98
15,G99,G99
15,R52,R52
15,I61,I61
15,M30,M30
15,M31,M31
15,J45,J45
15,K21,K21
15,K50,K50
15,K51,K51
15,K52,K52
15,K82,K82
15,K83,K83
15,K70,K70
15,K71,K71
15,K72,K72
15,K73,K73
15,K74,K74
15,K75,K75
15,K76,K76
15,K86.8,K868
15,K90,K90
15,K91,K91
15,N25.8,N258
15,N18,N18
15,N19,N19
15,N28.9,N289
15,N39.0,N390
15,M32,M32
15,M33,M33
15,M34,M34
15,M35,M35
15,M36,M36
15,M05,M05
15,M06,M06
15,M08,M08
15,M12.0,M120
15,Q20,Q20
15,Q21,Q21
15,Q22,Q22
15,Q23,Q23
15,Q24,Q24
15,Q25,Q25
15,Q26,Q26
15,Q27,Q27
15,Q28,Q28
15,P29.3,P293
15,Q35,Q35
15,Q36,Q36
15,Q37,Q37
15,Q40.0,Q400
15,Q43.1,Q431
15,Q90,Q90
15,Q91,Q91
15,Q92,Q92
15,Q93,Q93
15,Q94,Q94
15,Q95,Q95
15,Q96,Q96
15,Q97,Q97
15,Q98,Q98
15,Q99,Q99
15,Q86.0,Q860
15,P04.3,P043
15,P10,P10
15,P11.1,P111
15,P11.2,P112
15,P27.1,P271
15,P35,P35
15,P36,P36
15,P37,P37
15,P38,P38
15,P39,P39
15,P52,P52
15,S063,S063
15,S064,S064
15,S065,S065
15,S066,S066
15,S067,S067
15,S068,S068
15,T56.0,T560
