inclusion_index,inclusion_code,inclusion_code_decimal
1,0541,054.1
2,098,098
3,6149,614.9
4,9224,922.4
5,V715,V71.5
8,8070,807.0
8,8071,807.1
9,811,811
10,852,852
11,8530,853.0
12,8631,863.1
13,E965,E965
13,E966,E966
13,E9682,E968.2
14,E9689,E968.9
15,E988,E988
16,800,800
17,805,805
18,852,852
19,862,862
20,8632,863.2
20,8633,863.3
21,865,865
22,952,952
23,262,262
24,5210,521.0
25,6927,692.7
26,808,808
27,860,860
28,861,861
29,8638,863.8
30,864,864
31,866,866
32,941,941
33,942,942
34,945,945
35,946,946
36,960,960
36,961,961
36,962,962
36,963,963
36,964,964
36,965,965
36,966,966
36,967,967
36,968,968
36,969,969
36,970,970
36,971,971
36,972,972
36,973,973
36,974,974
36,975,975
36,976,976
36,977,977
36,978,978
36,979,979
37,9941,994.1
39,E9102,E910.2
40,E9104,E910.4
41,E9108,E910.8
42,E9109,E910.9
43,E9600,E960.0
44,E980,E980
45,E985,E985
46,V60,V60
