Year,Sex,Age,Estimate
1989,Male,2,33129
1989,Female,2,31801
1990,Both,2,66319
1990,Male,2,34184
1990,Female,2,32135
1991,Both,2,63912
1991,Male,2,32676
1991,Female,2,31236
1992,Both,2,63146
1992,Male,2,32198
1992,Female,2,30948
1993,Both,2,65506
1993,Male,2,33430
1993,Female,2,32076
1994,Both,2,66356
1994,Male,2,33837
1994,Female,2,32519
1995,Both,2,63805
1995,Male,2,32482
1995,Female,2,31323
1996,Both,2,62136
1996,Male,2,31747
1996,Female,2,30389
1997,Both,2,59673
1997,Male,2,30576
1997,Female,2,29097
1998,Both,2,58315
1998,Male,2,29868
1998,Female,2,28447
1999,Both,2,59143
1999,Male,2,30458
1999,Female,2,28685
2000,Both,2,57006
2000,Male,2,29160
2000,Female,2,27846
2001,Both,2,55668
2001,Male,2,28604
2001,Female,2,27064
2002,Both,2,53357
2002,Male,2,27595
2002,Female,2,25762
2003,Both,2,52437
2003,Male,2,26539
2003,Female,2,25898
2004,Both,2,51422
2004,Male,2,26167
2004,Female,2,25255
2005,Both,2,52171
2005,Male,2,26608
2005,Female,2,25563
2006,Both,2,53923
2006,Male,2,27771
2006,Female,2,26152
2007,Both,2,55052
2007,Male,2,28339
2007,Female,2,26713
2008,Both,2,55643
2008,Male,2,28449
2008,Female,2,27194
2009,Both,2,57219
2009,Male,2,29342
2009,Female,2,27877
2010,Both,2,59345
2010,Male,2,30271
2010,Female,2,29074
2011,Both,2,59379
2011,Male,2,30189
2011,Female,2,29190
2012,Both,2,57801
2012,Male,2,29443
2012,Female,2,28358
2013,Both,2,60750
2013,Male,2,31061
2013,Female,2,29689
2014,Both,2,59003
2014,Male,2,30318
2014,Female,2,28685
2015,Both,2,57813
2015,Male,2,29527
2015,Female,2,28286
2016,Both,2,57165
2016,Male,2,29377
2016,Female,2,27788
2017,Both,2,56790
2017,Male,2,29157
2017,Female,2,27633
2018,Both,2,56084
2018,Male,2,29032
2018,Female,2,27052
1981,Both,3,59568
1981,Male,3,30363
1981,Female,3,29205
1982,Both,3,63810
1982,Male,3,32932
1982,Female,3,30878
1983,Both,3,66026
1983,Male,3,33747
1983,Female,3,32279
1984,Both,3,67520
1984,Male,3,34695
1984,Female,3,32825
1985,Both,3,65278
1985,Male,3,33291
1985,Female,3,31987
1986,Both,3,63935
1986,Male,3,32757
1986,Female,3,31178
1987,Both,3,62379
1987,Male,3,31927
1987,Female,3,30452
1988,Both,3,64038
1988,Male,3,32581
1988,Female,3,31457
1989,Both,3,65598
1989,Male,3,33597
1989,Female,3,32001
1990,Both,3,65076
1990,Male,3,33208
1990,Female,3,31868
1991,Both,3,66206
1991,Male,3,34103
1991,Female,3,32103
1992,Both,3,63792
1992,Male,3,32637
1992,Female,3,31155
1993,Both,3,63295
1993,Male,3,32291
1993,Female,3,31004
1994,Both,3,65575
1994,Male,3,33474
1994,Female,3,32101
1995,Both,3,66213
1995,Male,3,33794
1995,Female,3,32419
1996,Both,3,63594
1996,Male,3,32413
1996,Female,3,31181
1997,Both,3,61834
1997,Male,3,31552
1997,Female,3,30282
1998,Both,3,59510
1998,Male,3,30533
1998,Female,3,28977
1999,Both,3,58286
1999,Male,3,29866
1999,Female,3,28420
2000,Both,3,58857
2000,Male,3,30358
2000,Female,3,28499
2001,Both,3,56812
2001,Male,3,29070
2001,Female,3,27742
