Year,Sex,Age,Estimate
1990,Male,23,42574
1990,Female,23,41276
1991,Both,23,83114
1991,Male,23,41563
1991,Female,23,41551
1992,Both,23,80836
1992,Male,23,40597
1992,Female,23,40239
1993,Both,23,78336
1993,Male,23,39220
1993,Female,23,39116
1994,Both,23,78643
1994,Male,23,39375
1994,Female,23,39268
1995,Both,23,74603
1995,Male,23,37189
1995,Female,23,37414
1996,Both,23,69747
1996,Male,23,34890
1996,Female,23,34857
1997,Both,23,64664
1997,Male,23,32166
1997,Female,23,32498
1998,Both,23,63017
1998,Male,23,31012
1998,Female,23,32005
1999,Both,23,61678
1999,Male,23,30713
1999,Female,23,30965
2000,Both,23,57216
2000,Male,23,28394
2000,Female,23,28822
2001,Both,23,58527
2001,Male,23,29015
2001,Female,23,29512
2002,Both,23,63472
2002,Male,23,32059
2002,Female,23,31413
2003,Both,23,66724
2003,Male,23,33459
2003,Female,23,33265
2004,Both,23,68040
2004,Male,23,34011
2004,Female,23,34029
2005,Both,23,66744
2005,Male,23,32762
2005,Female,23,33982
2006,Both,23,66347
2006,Male,23,32810
2006,Female,23,33537
2007,Both,23,66648
2007,Male,23,33063
2007,Female,23,33585
2008,Both,23,69275
2008,Male,23,34312
2008,Female,23,34963
2009,Both,23,70040
2009,Male,23,34860
2009,Female,23,35180
2010,Both,23,70576
2010,Male,23,34807
2010,Female,23,35769
2011,Both,23,73748
2011,Male,23,36710
2011,Female,23,37038
2012,Both,23,73142
2012,Male,23,36364
2012,Female,23,36778
2013,Both,23,73520
2013,Male,23,36745
2013,Female,23,36775
2014,Both,23,76858
2014,Male,23,38367
2014,Female,23,38491
2015,Both,23,77485
2015,Male,23,38305
2015,Female,23,39180
2016,Both,23,74422
2016,Male,23,36791
2016,Female,23,37631
2017,Both,23,72975
2017,Male,23,36594
2017,Female,23,36381
2018,Both,23,71115
2018,Male,23,35912
2018,Female,23,35203
1981,Both,24,77292
1981,Male,24,39140
1981,Female,24,38152
1982,Both,24,79203
1982,Male,24,39956
1982,Female,24,39247
1983,Both,24,81138
1983,Male,24,41043
1983,Female,24,40095
1984,Both,24,82889
1984,Male,24,42279
1984,Female,24,40610
1985,Both,24,84378
1985,Male,24,42667
1985,Female,24,41711
1986,Both,24,85028
1986,Male,24,43414
1986,Female,24,41614
1987,Both,24,85438
1987,Male,24,43265
1987,Female,24,42173
1988,Both,24,85585
1988,Male,24,43085
1988,Female,24,42500
1989,Both,24,85688
1989,Male,24,43254
1989,Female,24,42434
1990,Both,24,81658
1990,Male,24,40901
1990,Female,24,40757
1991,Both,24,83048
1991,Male,24,41959
1991,Female,24,41089
1992,Both,24,81797
1992,Male,24,40788
1992,Female,24,41009
1993,Both,24,79995
1993,Male,24,40034
1993,Female,24,39961
1994,Both,24,77624
1994,Male,24,38769
1994,Female,24,38855
1995,Both,24,77484
1995,Male,24,38549
1995,Female,24,38935
1996,Both,24,73085
1996,Male,24,36237
1996,Female,24,36848
1997,Both,24,68163
1997,Male,24,33917
1997,Female,24,34246
1998,Both,24,62986
1998,Male,24,31233
1998,Female,24,31753
1999,Both,24,61433
1999,Male,24,30113
1999,Female,24,31320
2000,Both,24,60056
2000,Male,24,29734
2000,Female,24,30322
2001,Both,24,55962
2001,Male,24,27811
2001,Female,24,28151
2002,Both,24,57749
2002,Male,24,28733
2002,Female,24,29016
2003,Both,24,62607
2003,Male,24,31656
2003,Female,24,30951
2004,Both,24,66117
2004,Male,24,33183
2004,Female,24,32934
2005,Both,24,68005
2005,Male,24,33949
2005,Female,24,34056
2006,Both,24,67061
2006,Male,24,33019
2006,Female,24,34042
2007,Both,24,66963
2007,Male,24,33072
2007,Female,24,33891
2008,Both,24,66659
2008,Male,24,32999
2008,Female,24,33660
2009,Both,24,69240
2009,Male,24,34236
2009,Female,24,35004
2010,Both,24,70043
2010,Male,24,34840
2010,Female,24,35203
2011,Both,24,71227
2011,Male,24,35129
2011,Female,24,36098
2012,Both,24,73521
2012,Male,24,36530
2012,Female,24,36991
2013,Both,24,72940
2013,Male,24,36372
2013,Female,24,36568
2014,Both,24,73377
2014,Male,24,36690
2014,Female,24,36687
2015,Both,24,77246
2015,Male,24,38562
2015,Female,24,38684
2016,Both,24,78348
2016,Male,24,38808
2016,Female,24,39540
2017,Both,24,74653
2017,Male,24,36984
2017,Female,24,37669
2018,Both,24,72998
2018,Male,24,36703
2018,Female,24,36295
1981,Both,25,75098
1981,Male,25,38160
1981,Female,25,36938
1982,Both,25,76278
1982,Male,25,38512
1982,Female,25,37766
1983,Both,25,78329
1983,Male,25,39450
1983,Female,25,38879
1984,Both,25,80504
1984,Male,25,40631
1984,Female,25,39873
1985,Both,25,81926
1985,Male,25,41661
1985,Female,25,40265
1986,Both,25,83437
1986,Male,25,42145
1986,Female,25,41292
1987,Both,25,83681
1987,Male,25,42581
1987,Female,25,41100
1988,Both,25,83452
1988,Male,25,42068
1988,Female,25,41384
1989,Both,25,84220
1989,Male,25,42131
1989,Female,25,42089
1990,Both,25,84864
1990,Male,25,42443
1990,Female,25,42421
1991,Both,25,81062
1991,Male,25,40329
1991,Female,25,40733
1992,Both,25,82364
1992,Male,25,41448
1992,Female,25,40916
1993,Both,25,81189
1993,Male,25,40357
1993,Female,25,40832
1994,Both,25,79562
1994,Male,25,39633
1994,Female,25,39929
1995,Both,25,76777
1995,Male,25,38128
1995,Female,25,38649
1996,Both,25,76403
1996,Male,25,37792
1996,Female,25,38611
1997,Both,25,71907
1997,Male,25,35387
1997,Female,25,36520
1998,Both,25,66888
1998,Male,25,33097
1998,Female,25,33791
1999,Both,25,61905
1999,Male,25,30516
1999,Female,25,31389
2000,Both,25,60310
2000,Male,25,29327
2000,Female,25,30983
2001,Both,25,59440
2001,Male,25,29307
2001,Female,25,30133
2002,Both,25,55837
2002,Male,25,27891
2002,Female,25,27946
2003,Both,25,57291
2003,Male,25,28496
2003,Female,25,28795
2004,Both,25,62311
2004,Male,25,31380
2004,Female,25,30931
2005,Both,25,66310
2005,Male,25,33123
2005,Female,25,33187
2006,Both,25,68088
2006,Male,25,33957
2006,Female,25,34131
2007,Both,25,68065
2007,Male,25,33458
2007,Female,25,34607
2008,Both,25,67667
2008,Male,25,33427
2008,Female,25,34240
2009,Both,25,66895
2009,Male,25,33083
2009,Female,25,33812
2010,Both,25,69509
2010,Male,25,34278
2010,Female,25,35231
2011,Both,25,70658
2011,Male,25,35166
2011,Female,25,35492
2012,Both,25,70927
2012,Male,25,34901
2012,Female,25,36026
2013,Both,25,73405
2013,Male,25,36485
2013,Female,25,36920
2014,Both,25,72857
2014,Male,25,36369
2014,Female,25,36488
2015,Both,25,74147
2015,Male,25,37083
2015,Female,25,37064
2016,Both,25,78055
2016,Male,25,39073
2016,Female,25,38982
2017,Both,25,78655
2017,Male,25,39025
2017,Female,25,39630
2018,Both,25,74452
2018,Male,25,36944
2018,Female,25,37508
1981,Both,26,71809
1981,Male,26,36135
1981,Female,26,35674
1982,Both,26,74424
1982,Male,26,37744
1982,Female,26,36680
1983,Both,26,75359
1983,Male,26,37940
1983,Female,26,37419
1984,Both,26,77700
1984,Male,26,39001
1984,Female,26,38699
1985,Both,26,79713
1985,Male,26,40096
1985,Female,26,39617
1986,Both,26,80979
1986,Male,26,41040
1986,Female,26,39939
1987,Both,26,82518
1987,Male,26,41630
1987,Female,26,40888
1988,Both,26,81902
1988,Male,26,41493
1988,Female,26,40409
1989,Both,26,82393
1989,Male,26,41211
1989,Female,26,41182
1990,Both,26,83774
1990,Male,26,41565
1990,Female,26,42209
1991,Both,26,84211
1991,Male,26,41802
1991,Female,26,42409
1992,Both,26,80429
1992,Male,26,39856
1992,Female,26,40573
1993,Both,26,82038
1993,Male,26,41145
1993,Female,26,40893
1994,Both,26,80826
1994,Male,26,39979
1994,Female,26,40847
1995,Both,26,78955
1995,Male,26,39128
1995,Female,26,39827
1996,Both,26,75680
1996,Male,26,37415
1996,Female,26,38265
1997,Both,26,75326
1997,Male,26,37073
1997,Female,26,38253
1998,Both,26,70778
1998,Male,26,34547
1998,Female,26,36231
1999,Both,26,66049
1999,Male,26,32434
1999,Female,26,33615
2000,Both,26,60998
2000,Male,26,29822
2000,Female,26,31176
2001,Both,26,59787
2001,Male,26,28969
2001,Female,26,30818
2002,Both,26,59376
2002,Male,26,29247
2002,Female,26,30129
2003,Both,26,55531
2003,Male,26,27601
2003,Female,26,27930
2004,Both,26,57248
2004,Male,26,28276
2004,Female,26,28972
2005,Both,26,62499
2005,Male,26,31344
2005,Female,26,31155
2006,Both,26,66241
2006,Male,26,32944
2006,Female,26,33297
2007,Both,26,68558
2007,Male,26,34106
2007,Female,26,34452
2008,Both,26,68493
2008,Male,26,33589
2008,Female,26,34904
2009,Both,26,67901
2009,Male,26,33391
2009,Female,26,34510
2010,Both,26,67047
2010,Male,26,33076
2010,Female,26,33971
2011,Both,26,69901
2011,Male,26,34410
2011,Female,26,35491
2012,Both,26,70455
2012,Male,26,34986
2012,Female,26,35469
2013,Both,26,70758
2013,Male,26,34909
2013,Female,26,35849
2014,Both,26,73353
2014,Male,26,36406
2014,Female,26,36947
2015,Both,26,73527
2015,Male,26,36676
2015,Female,26,36851
2016,Both,26,74943
2016,Male,26,37445
2016,Female,26,37498
2017,Both,26,78483
2017,Male,26,39299
2017,Female,26,39184
2018,Both,26,78687
2018,Male,26,39075
2018,Female,26,39612
1981,Both,27,71213
1981,Male,27,35827
1981,Female,27,35386
1982,Both,27,71219
1982,Male,27,35821
1982,Female,27,35398
1983,Both,27,73992
1983,Male,27,37513
1983,Female,27,36479
1984,Both,27,75097
1984,Male,27,37794
1984,Female,27,37303
1985,Both,27,77173
1985,Male,27,38708
1985,Female,27,38465
1986,Both,27,79160
1986,Male,27,39771
1986,Female,27,39389
1987,Both,27,80263
1987,Male,27,40611
1987,Female,27,39652
1988,Both,27,81246
1988,Male,27,40845
1988,Female,27,40401
1989,Both,27,81449
1989,Male,27,41025
1989,Female,27,40424
1990,Both,27,82131
1990,Male,27,40834
1990,Female,27,41297
1991,Both,27,83396
1991,Male,27,41163
1991,Female,27,42233
1992,Both,27,83773
1992,Male,27,41495
1992,Female,27,42278
1993,Both,27,80341
1993,Male,27,39641
1993,Female,27,40700
1994,Both,27,82089
1994,Male,27,41016
1994,Female,27,41073
1995,Both,27,80510
1995,Male,27,39682
1995,Female,27,40828
1996,Both,27,78163
1996,Male,27,38638
1996,Female,27,39525
1997,Both,27,74815
1997,Male,27,36751
1997,Female,27,38064
1998,Both,27,74525
1998,Male,27,36491
1998,Female,27,38034
1999,Both,27,70232
1999,Male,27,34058
1999,Female,27,36174
2000,Both,27,65453
2000,Male,27,31970
2000,Female,27,33483
2001,Both,27,60929
2001,Male,27,29749
2001,Female,27,31180
2002,Both,27,59910
2002,Male,27,29067
2002,Female,27,30843
2003,Both,27,59388
2003,Male,27,29233
2003,Female,27,30155
2004,Both,27,55780
2004,Male,27,27601
2004,Female,27,28179
2005,Both,27,57851
2005,Male,27,28582
2005,Female,27,29269
2006,Both,27,62901
2006,Male,27,31531
2006,Female,27,31370
2007,Both,27,67098
2007,Male,27,33305
2007,Female,27,33793
2008,Both,27,68765
2008,Male,27,34126
2008,Female,27,34639
2009,Both,27,68783
2009,Male,27,33669
2009,Female,27,35114
2010,Both,27,68278
2010,Male,27,33499
2010,Female,27,34779
2011,Both,27,67576
2011,Male,27,33302
2011,Female,27,34274
2012,Both,27,69893
2012,Male,27,34366
2012,Female,27,35527
2013,Both,27,70420
2013,Male,27,34994
2013,Female,27,35426
2014,Both,27,70921
2014,Male,27,34959
2014,Female,27,35962
2015,Both,27,73839
2015,Male,27,36683
2015,Female,27,37156
2016,Both,27,74420
2016,Male,27,37102
2016,Female,27,37318
2017,Both,27,75362
2017,Male,27,37701
2017,Female,27,37661
2018,Both,27,78594
2018,Male,27,39374
2018,Female,27,39220
1981,Both,28,69830
1981,Male,28,35202
1981,Female,28,34628
1982,Both,28,70770
1982,Male,28,35555
1982,Female,28,35215
1983,Both,28,70460
1983,Male,28,35416
1983,Female,28,35044
1984,Both,28,73600
1984,Male,28,37217
1984,Female,28,36383
1985,Both,28,74715
1985,Male,28,37498
1985,Female,28,37217
1986,Both,28,76651
1986,Male,28,38357
1986,Female,28,38294
1987,Both,28,78360
1987,Male,28,39288
1987,Female,28,39072
1988,Both,28,79201
1988,Male,28,39942
1988,Female,28,39259
1989,Both,28,80813
1989,Male,28,40347
1989,Female,28,40466
1990,Both,28,81333
1990,Male,28,40731
1990,Female,28,40602
1991,Both,28,81923
1991,Male,28,40471
1991,Female,28,41452
1992,Both,28,83102
1992,Male,28,40917
1992,Female,28,42185
1993,Both,28,83597
1993,Male,28,41283
1993,Female,28,42314
1994,Both,28,80418
1994,Male,28,39506
1994,Female,28,40912
1995,Both,28,81799
1995,Male,28,40715
1995,Female,28,41084
1996,Both,28,79879
1996,Male,28,39185
1996,Female,28,40694
1997,Both,28,77529
1997,Male,28,38170
1997,Female,28,39359
1998,Both,28,74213
1998,Male,28,36264
1998,Female,28,37949
1999,Both,28,74070
1999,Male,28,36085
1999,Female,28,37985
2000,Both,28,69568
2000,Male,28,33555
2000,Female,28,36013
2001,Both,28,65267
2001,Male,28,31758
2001,Female,28,33509
2002,Both,28,61022
2002,Male,28,29781
2002,Female,28,31241
2003,Both,28,59848
2003,Male,28,29009
2003,Female,28,30839
2004,Both,28,59475
2004,Male,28,29155
2004,Female,28,30320
2005,Both,28,56195
2005,Male,28,27779
2005,Female,28,28416
2006,Both,28,58225
2006,Male,28,28688
2006,Female,28,29537
2007,Both,28,63715
2007,Male,28,31848
2007,Female,28,31867
2008,Both,28,67244
2008,Male,28,33266
2008,Female,28,33978
2009,Both,28,68995
2009,Male,28,34134
2009,Female,28,34861
2010,Both,28,69056
2010,Male,28,33662
2010,Female,28,35394
2011,Both,28,68651
2011,Male,28,33649
2011,Female,28,35002
2012,Both,28,67498
2012,Male,28,33142
2012,Female,28,34356
2013,Both,28,69963
2013,Male,28,34409
2013,Female,28,35554
2014,Both,28,70384
2014,Male,28,34888
2014,Female,28,35496
2015,Both,28,71408
2015,Male,28,35205
2015,Female,28,36203
2016,Both,28,74513
2016,Male,28,36957
2016,Female,28,37556
2017,Both,28,74881
2017,Male,28,37307
2017,Female,28,37574
2018,Both,28,75598
2018,Male,28,37825
2018,Female,28,37773
1981,Both,29,67367
1981,Male,29,33821
1981,Female,29,33546
1982,Both,29,69262
1982,Male,29,34855
1982,Female,29,34407
1983,Both,29,70178
1983,Male,29,35188
1983,Female,29,34990
1984,Both,29,70288
1984,Male,29,35229
1984,Female,29,35059
1985,Both,29,73134
1985,Male,29,36916
1985,Female,29,36218
1986,Both,29,74089
1986,Male,29,37085
1986,Female,29,37004
1987,Both,29,75873
1987,Male,29,37800
1987,Female,29,38073
1988,Both,29,77310
1988,Male,29,38624
1988,Female,29,38686
1989,Both,29,78871
1989,Male,29,39655
1989,Female,29,39216
1990,Both,29,80853
1990,Male,29,40188
1990,Female,29,40665
1991,Both,29,80974
1991,Male,29,40331
1991,Female,29,40643
1992,Both,29,81585
1992,Male,29,40120
1992,Female,29,41465
1993,Both,29,82907
1993,Male,29,40678
1993,Female,29,42229
1994,Both,29,83524
1994,Male,29,41123
1994,Female,29,42401
1995,Both,29,80183
1995,Male,29,39201
1995,Female,29,40982
1996,Both,29,81299
1996,Male,29,40246
1996,Female,29,41053
1997,Both,29,79413
1997,Male,29,38749
1997,Female,29,40664
1998,Both,29,76927
1998,Male,29,37687
1998,Female,29,39240
1999,Both,29,73772
1999,Male,29,35866
1999,Female,29,37906
2000,Both,29,73643
2000,Male,29,35650
2000,Female,29,37993
2001,Both,29,69462
2001,Male,29,33338
2001,Female,29,36124
2002,Both,29,65243
2002,Male,29,31707
2002,Female,29,33536
2003,Both,29,61120
2003,Male,29,29720
2003,Female,29,31400
2004,Both,29,60232
2004,Male,29,29108
2004,Female,29,31124
2005,Both,29,59943
2005,Male,29,29356
2005,Female,29,30587
2006,Both,29,56698
2006,Male,29,27973
2006,Female,29,28725
2007,Both,29,59098
2007,Male,29,29070
2007,Female,29,30028
2008,Both,29,64311
2008,Male,29,32063
2008,Female,29,32248
2009,Both,29,67400
2009,Male,29,33301
2009,Female,29,34099
2010,Both,29,69011
2010,Male,29,33993
2010,Female,29,35018
2011,Both,29,69563
2011,Male,29,33865
2011,Female,29,35698
2012,Both,29,68559
2012,Male,29,33494
2012,Female,29,35065
2013,Both,29,67529
2013,Male,29,33164
2013,Female,29,34365
2014,Both,29,70043
2014,Male,29,34315
2014,Female,29,35728
2015,Both,29,70965
2015,Male,29,35146
2015,Female,29,35819
2016,Both,29,72193
2016,Male,29,35572
2016,Female,29,36621
2017,Both,29,74867
2017,Male,29,37044
2017,Female,29,37823
2018,Both,29,75009
2018,Male,29,37314
2018,Female,29,37695
1981,Both,30,69188
1981,Male,30,34815
1981,Female,30,34373
1982,Both,30,66987
1982,Male,30,33562
1982,Female,30,33425
1983,Both,30,68752
1983,Male,30,34596
1983,Female,30,34156
1984,Both,30,69724
1984,Male,30,34927
1984,Female,30,34797
1985,Both,30,69964
1985,Male,30,35033
1985,Female,30,34931
1986,Both,30,72528
1986,Male,30,36555
1986,Female,30,35973
1987,Both,30,73441
1987,Male,30,36622
1987,Female,30,36819
1988,Both,30,74935
1988,Male,30,37191
1988,Female,30,37744
1989,Both,30,76978
1989,Male,30,38285
1989,Female,30,38693
1990,Both,30,79003
1990,Male,30,39530
1990,Female,30,39473
1991,Both,30,80679
1991,Male,30,39901
1991,Female,30,40778
1992,Both,30,80616
1992,Male,30,40049
1992,Female,30,40567
1993,Both,30,81564
1993,Male,30,40002
1993,Female,30,41562
1994,Both,30,82885
1994,Male,30,40524
1994,Female,30,42361
1995,Both,30,83193
1995,Male,30,40851
1995,Female,30,42342
1996,Both,30,79692
1996,Male,30,38835
1996,Female,30,40857
1997,Both,30,80829
1997,Male,30,39853
1997,Female,30,40976
1998,Both,30,78909
1998,Male,30,38327
1998,Female,30,40582
1999,Both,30,76683
1999,Male,30,37366
1999,Female,30,39317
2000,Both,30,73362
2000,Male,30,35482
2000,Female,30,37880
2001,Both,30,73489
2001,Male,30,35438
2001,Female,30,38051
2002,Both,30,69548
2002,Male,30,33327
2002,Female,30,36221
2003,Both,30,65423
2003,Male,30,31725
2003,Female,30,33698
2004,Both,30,61426
2004,Male,30,29848
2004,Female,30,31578
2005,Both,30,60787
2005,Male,30,29406
2005,Female,30,31381
2006,Both,30,60374
2006,Male,30,29597
2006,Female,30,30777
2007,Both,30,57692
2007,Male,30,28510
2007,Female,30,29182
2008,Both,30,59855
2008,Male,30,29401
2008,Female,30,30454
2009,Both,30,64920
2009,Male,30,32295
2009,Female,30,32625
2010,Both,30,67530
2010,Male,30,33317
2010,Female,30,34213
2011,Both,30,69237
2011,Male,30,34091
2011,Female,30,35146
2012,Both,30,69543
2012,Male,30,33803
2012,Female,30,35740
2013,Both,30,68641
2013,Male,30,33506
2013,Female,30,35135
2014,Both,30,67814
2014,Male,30,33218
2014,Female,30,34596
2015,Both,30,70533
2015,Male,30,34548
2015,Female,30,35985
2016,Both,30,71566
2016,Male,30,35467
2016,Female,30,36099
2017,Both,30,72571
2017,Male,30,35749
2017,Female,30,36822
2018,Both,30,75210
2018,Male,30,37276
2018,Female,30,37934
1981,Both,31,69696
1981,Male,31,35130
1981,Female,31,34566
1982,Both,31,68837
1982,Male,31,34565
1982,Female,31,34272
1983,Both,31,66618
1983,Male,31,33354
1983,Female,31,33264
1984,Both,31,68558
1984,Male,31,34450
1984,Female,31,34108
1985,Both,31,69443
1985,Male,31,34725
1985,Female,31,34718
1986,Both,31,69529
1986,Male,31,34781
1986,Female,31,34748
1987,Both,31,72088
1987,Male,31,36242
1987,Female,31,35846
1988,Both,31,72679
1988,Male,31,36137
1988,Female,31,36542
1989,Both,31,74695
1989,Male,31,36894
1989,Female,31,37801
1990,Both,31,77074
1990,Male,31,38251
1990,Female,31,38823
1991,Both,31,78977
1991,Male,31,39365
1991,Female,31,39612
1992,Both,31,80378
1992,Male,31,39672
1992,Female,31,40706
1993,Both,31,80697
1993,Male,31,40024
1993,Female,31,40673
1994,Both,31,81772
1994,Male,31,40025
1994,Female,31,41747
1995,Both,31,82732
1995,Male,31,40309
1995,Female,31,42423
1996,Both,31,82732
1996,Male,31,40512
1996,Female,31,42220
1997,Both,31,79300
1997,Male,31,38508
1997,Female,31,40792
1998,Both,31,80493
1998,Male,31,39562
1998,Female,31,40931
1999,Both,31,78687
1999,Male,31,38068
1999,Female,31,40619
2000,Both,31,76396
2000,Male,31,37070
2000,Female,31,39326
2001,Both,31,73267
2001,Male,31,35372
2001,Female,31,37895
2002,Both,31,73481
2002,Male,31,35350
2002,Female,31,38131
2003,Both,31,69707
2003,Male,31,33419
2003,Female,31,36288
2004,Both,31,65673
2004,Male,31,31818
2004,Female,31,33855
2005,Both,31,61895
2005,Male,31,30127
2005,Female,31,31768
2006,Both,31,61234
2006,Male,31,29650
2006,Female,31,31584
2007,Both,31,61270
2007,Male,31,30123
2007,Female,31,31147
2008,Both,31,58385
2008,Male,31,28898
2008,Female,31,29487
2009,Both,31,60326
2009,Male,31,29662
2009,Female,31,30664
2010,Both,31,65245
2010,Male,31,32412
2010,Female,31,32833
2011,Both,31,67851
2011,Male,31,33372
2011,Female,31,34479
2012,Both,31,69174
2012,Male,31,33998
2012,Female,31,35176
2013,Both,31,69583
2013,Male,31,33834
2013,Female,31,35749
2014,Both,31,68824
2014,Male,31,33580
2014,Female,31,35244
2015,Both,31,68276
2015,Male,31,33488
2015,Female,31,34788
2016,Both,31,71086
2016,Male,31,34774
2016,Female,31,36312
2017,Both,31,71944
2017,Male,31,35727
2017,Female,31,36217
2018,Both,31,72799
2018,Male,31,35819
2018,Female,31,36980
1981,Both,32,72145
1981,Male,32,36297
1981,Female,32,35848
1982,Both,32,69352
1982,Male,32,34951
1982,Female,32,34401
1983,Both,32,68326
1983,Male,32,34224
1983,Female,32,34102
1984,Both,32,66200
1984,Male,32,33075
1984,Female,32,33125
1985,Both,32,68356
1985,Male,32,34347
1985,Female,32,34009
1986,Both,32,69028
1986,Male,32,34488
1986,Female,32,34540
1987,Both,32,69089
1987,Male,32,34475
1987,Female,32,34614
1988,Both,32,71521
1988,Male,32,35900
1988,Female,32,35621
1989,Both,32,72662
1989,Male,32,35909
1989,Female,32,36753
1990,Both,32,74815
1990,Male,32,36828
1990,Female,32,37987
1991,Both,32,76967
1991,Male,32,38077
1991,Female,32,38890
1992,Both,32,78683
1992,Male,32,39076
1992,Female,32,39607
1993,Both,32,80353
1993,Male,32,39590
1993,Female,32,40763
1994,Both,32,80793
1994,Male,32,39974
1994,Female,32,40819
1995,Both,32,81664
1995,Male,32,39784
1995,Female,32,41880
1996,Both,32,82348
1996,Male,32,39971
1996,Female,32,42377
1997,Both,32,82356
1997,Male,32,40227
1997,Female,32,42129
1998,Both,32,79089
1998,Male,32,38273
1998,Female,32,40816
1999,Both,32,80261
1999,Male,32,39363
1999,Female,32,40898
2000,Both,32,78278
2000,Male,32,37713
2000,Female,32,40565
2001,Both,32,76391
2001,Male,32,36882
2001,Female,32,39509
2002,Both,32,73315
2002,Male,32,35301
2002,Female,32,38014
2003,Both,32,73530
2003,Male,32,35322
2003,Female,32,38208
2004,Both,32,70214
2004,Male,32,33668
2004,Female,32,36546
2005,Both,32,66221
2005,Male,32,32112
2005,Female,32,34109
2006,Both,32,62388
2006,Male,32,30436
2006,Female,32,31952
2007,Both,32,62053
2007,Male,32,30105
2007,Female,32,31948
2008,Both,32,61911
2008,Male,32,30470
2008,Female,32,31441
2009,Both,32,58732
2009,Male,32,29056
2009,Female,32,29676
2010,Both,32,60599
2010,Male,32,29708
2010,Female,32,30891
2011,Both,32,65690
2011,Male,32,32617
2011,Female,32,33073
2012,Both,32,67793
2012,Male,32,33238
2012,Female,32,34555
2013,Both,32,69203
2013,Male,32,33993
2013,Female,32,35210
2014,Both,32,69720
2014,Male,32,33826
2014,Female,32,35894
2015,Both,32,69258
2015,Male,32,33813
2015,Female,32,35445
2016,Both,32,68875
2016,Male,32,33786
2016,Female,32,35089
2017,Both,32,71361
2017,Male,32,34926
2017,Female,32,36435
2018,Both,32,72184
2018,Male,32,35819
2018,Female,32,36365
1981,Both,33,75327
1981,Male,33,37814
1981,Female,33,37513
1982,Both,33,71730
1982,Male,33,36031
1982,Female,33,35699
1983,Both,33,68902
1983,Male,33,34678
1983,Female,33,34224
1984,Both,33,68049
1984,Male,33,34082
1984,Female,33,33967
1985,Both,33,65903
1985,Male,33,32875
1985,Female,33,33028
1986,Both,33,67909
1986,Male,33,34092
1986,Female,33,33817
1987,Both,33,68615
1987,Male,33,34254
1987,Female,33,34361
1988,Both,33,68532
1988,Male,33,34094
1988,Female,33,34438
1989,Both,33,71372
1989,Male,33,35709
1989,Female,33,35663
1990,Both,33,72691
1990,Male,33,35747
1990,Female,33,36944
1991,Both,33,74653
1991,Male,33,36596
1991,Female,33,38057
1992,Both,33,76797
1992,Male,33,37902
1992,Female,33,38895
1993,Both,33,78662
1993,Male,33,38984
1993,Female,33,39678
1994,Both,33,80387
1994,Male,33,39509
1994,Female,33,40878
1995,Both,33,80699
1995,Male,33,39852
1995,Female,33,40847
1996,Both,33,81474
1996,Male,33,39624
1996,Female,33,41850
1997,Both,33,81995
1997,Male,33,39687
1997,Female,33,42308
1998,Both,33,82097
1998,Male,33,39971
1998,Female,33,42126
1999,Both,33,78958
1999,Male,33,38090
1999,Female,33,40868
2000,Both,33,79878
2000,Male,33,38992
2000,Female,33,40886
2001,Both,33,78126
2001,Male,33,37511
2001,Female,33,40615
2002,Both,33,76383
2002,Male,33,36753
2002,Female,33,39630
2003,Both,33,73436
2003,Male,33,35332
2003,Female,33,38104
2004,Both,33,73912
2004,Male,33,35415
2004,Female,33,38497
2005,Both,33,70715
2005,Male,33,33911
2005,Female,33,36804
2006,Both,33,66575
2006,Male,33,32265
2006,Female,33,34310
2007,Both,33,63181
2007,Male,33,30880
2007,Female,33,32301
2008,Both,33,62536
2008,Male,33,30370
2008,Female,33,32166
2009,Both,33,62368
2009,Male,33,30647
2009,Female,33,31721
2010,Both,33,59243
2010,Male,33,29305
2010,Female,33,29938
2011,Both,33,61116
2011,Male,33,29904
2011,Female,33,31212
2012,Both,33,65521
2012,Male,33,32513
2012,Female,33,33008
2013,Both,33,67819
2013,Male,33,33254
2013,Female,33,34565
2014,Both,33,69328
2014,Male,33,33971
2014,Female,33,35357
2015,Both,33,70132
2015,Male,33,34009
2015,Female,33,36123
2016,Both,33,69755
2016,Male,33,34032
2016,Female,33,35723
2017,Both,33,69157
2017,Male,33,33871
2017,Female,33,35286
2018,Both,33,71623
2018,Male,33,35044
2018,Female,33,36579
1981,Both,34,82045
1981,Male,34,41185
1981,Female,34,40860
1982,Both,34,74974
1982,Male,34,37577
1982,Female,34,37397
1983,Both,34,71358
1983,Male,34,35763
1983,Female,34,35595
1984,Both,34,68648
1984,Male,34,34521
1984,Female,34,34127
1985,Both,34,67868
1985,Male,34,33930
1985,Female,34,33938
1986,Both,34,65424
1986,Male,34,32568
1986,Female,34,32856
1987,Both,34,67387
1987,Male,34,33706
1987,Female,34,33681
1988,Both,34,68051
1988,Male,34,33869
1988,Female,34,34182
1989,Both,34,68391
1989,Male,34,33928
1989,Female,34,34463
1990,Both,34,71477
1990,Male,34,35653
1990,Female,34,35824
1991,Both,34,72638
1991,Male,34,35652
1991,Female,34,36986
1992,Both,34,74602
1992,Male,34,36470
1992,Female,34,38132
1993,Both,34,76909
1993,Male,34,37871
1993,Female,34,39038
1994,Both,34,78685
1994,Male,34,38911
1994,Female,34,39774
1995,Both,34,80086
1995,Male,34,39214
1995,Female,34,40872
